"rules","support","confidence","coverage","lift","count"
"{retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.0559751820879417,0.677338355304457,0.0826399120167666,2.67411728836907,5395
"{adherencia=muy_alta} => {RT_popular=muy muchos}",0.072897428980515,0.435612871225742,0.16734452491129,1.71979026561584,7026
"{difusion=intermedia} => {RT_popular=muy muchos}",0.0565977049656575,0.285064799331104,0.198543296466145,1.12542970913572,5455
"{1_resp=ahora} => {RT_popular=muy muchos}",0.0577182461455458,0.288597219340112,0.199995849847482,1.13937562751152,5563
"{1_resp=tranqui} => {RT_popular=muy muchos}",0.0521466663899898,0.260738742477692,0.199995849847482,1.02939095881231,5026
"{retweet_verified=Verificados} => {RT_popular=muy muchos}",0.161700317486668,0.720860314523589,0.224315743603577,2.845941049212,15585
"{n_char=medio} => {RT_popular=muy muchos}",0.07882177170011,0.315450732882116,0.249870307733809,1.24539272259223,7597
"{difusion=alta} => {RT_popular=muy muchos}",0.104417837355523,0.401052044313382,0.26035981822332,1.58334486277853,10064
"{adherencia=alta} => {RT_popular=muy muchos}",0.0843103484053039,0.302351540407799,0.278848747691478,1.19367739186435,8126
"{fecha_inicio_T_momento=Noche} => {RT_popular=muy muchos}",0.118829241974643,0.260194924688189,0.456693158473574,1.02724397785184,11453
"{retweet_source=TweetDeck,retweet_verified=Verificados} => {RT_popular=muy muchos}",0.0438048598285987,0.846940822467402,0.0517212757568841,3.34370418838542,4222
"{n_char=medio,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.0212280301301073,0.70746887966805,0.0300056027058994,2.79307195183574,2046
"{adherencia=alta,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.0205225042020294,0.794696665327441,0.0258243240439086,3.13744537736408,1978
"{fecha_inicio_T_momento=Tarde,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.0206366333962773,0.63323782234957,0.0325890726484198,2.50000933083588,1989
"{retweet_es_finde=Laborable,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.0233549832956361,0.683363691560413,0.034176505986595,2.69790518657992,2251
"{fecha_inicio_T_momento=Noche,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.0260733331949949,0.720883534136546,0.0361685791952854,2.84603271974557,2513
"{polaridad=Neutro,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.0282729140295906,0.667892156862745,0.0423315556846714,2.63682389967415,2725
"{retweet_es_finde=Finde,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.0326201987923056,0.673089274245344,0.0484634060301716,2.65734200754986,3144
"{fecha_inicio_T_momento=Mañana,retweet_verified=Verificados} => {RT_popular=muy muchos}",0.0264053453964433,0.680663278951591,0.0387935506629869,2.68724401556188,2545
"{1_resp=desde el pasado,adherencia=muy_alta} => {RT_popular=muy muchos}",0.0273910066194933,0.421388667198723,0.0650017638148202,1.66363341342511,2640
"{adherencia=muy_alta,retweet_source=Twitter for iPhone} => {RT_popular=muy muchos}",0.023230478720093,0.416325771662328,0.0557988006059223,1.64364521051729,2239
"{adherencia=muy_alta,retweet_verified=Verificados} => {RT_popular=muy muchos}",0.0397895872673321,0.759405940594059,0.0523956755410761,2.9981183535959,3835
