"rules","support","confidence","coverage","lift","count"
"{fecha_inicio_T_momento=Mañana} => {n_char=largo}",0.0701375775559752,0.449109752856763,0.156170239256293,1.03508204882567,6760
"{adherencia=muy_alta} => {n_char=largo}",0.0761552987072275,0.45508091016182,0.16734452491129,1.04884402504165,7340
"{difusion=intermedia} => {n_char=largo}",0.0949969911394244,0.478469899665552,0.198543296466145,1.10274960830161,9156
"{1_resp=tranqui} => {n_char=largo}",0.0896432943910689,0.448225772981946,0.199995849847482,1.03304470340147,8640
"{1_resp=desde el pasado} => {n_char=largo}",0.0959930277437696,0.479925303454715,0.200016600610072,1.10610393834315,9252
"{1_resp=hace un ratín} => {n_char=largo}",0.0923512689091324,0.46171802054155,0.200016600610072,1.06414085118811,8901
"{RT_popular=muchos} => {n_char=largo}",0.0945300989811376,0.471071816348689,0.200670249631674,1.08569893596976,9111
"{retweet_source=Twitter Web App} => {n_char=largo}",0.123778298852483,0.519327877415985,0.238343259114772,1.19691670009105,11930
"{polaridad=Negativo} => {n_char=largo}",0.118860368118528,0.482073724962128,0.24656056110062,1.11105549533226,11456
"{polaridad=Positivo} => {n_char=largo}",0.124525326305742,0.495438596491228,0.251343611877737,1.14185807424897,12002
"{RT_popular=amigos medios} => {n_char=largo}",0.119493266377539,0.463199806949807,0.257973480525409,1.06755598635635,11517
"{difusion=alta} => {n_char=largo}",0.129671515428192,0.498047341994102,0.26035981822332,1.1478705592213,12498
"{adherencia=intermedia} => {n_char=largo}",0.124940341557552,0.44822452170029,0.278744993878525,1.03304181952025,12042
"{adherencia=alta} => {n_char=largo}",0.130760930464195,0.468931388599494,0.278848747691478,1.08076580252987,12603
"{retweet_source=Twitter for Android} => {n_char=largo}",0.14835757714096,0.449060988631367,0.330372891203752,1.03496965987394,14299
"{fecha_inicio_T_momento=Tarde} => {n_char=largo}",0.178871573530327,0.462037359633372,0.387136602270133,1.06487684536176,17240
"{retweet_es_finde=Finde} => {n_char=largo}",0.27895250150443,0.457423822243395,0.60983378639165,1.05424383259913,26886
"{fecha_inicio_T_momento=Mañana,retweet_source=Twitter Web App} => {n_char=largo}",0.0222551928783383,0.564176749079432,0.0394471996845884,1.30028177215557,2145
"{fecha_inicio_T_momento=Mañana,RT_popular=amigos medios} => {n_char=largo}",0.0212487808926978,0.502823471642524,0.0422589280156046,1.1588783051687,2048
"{adherencia=intermedia,fecha_inicio_T_momento=Mañana} => {n_char=largo}",0.0209997717416115,0.469823584029712,0.0446971426199913,1.08282208268853,2024
"{adherencia=alta,fecha_inicio_T_momento=Mañana} => {n_char=largo}",0.0203668734826005,0.50658064516129,0.0402046025191426,1.16753762026676,1963
"{fecha_inicio_T_momento=Mañana,RT_popular=pocos} => {n_char=largo}",0.0204291257703721,0.461016155467104,0.0443132535120666,1.06252323336833,1969
"{fecha_inicio_T_momento=Mañana,retweet_source=Twitter for Android} => {n_char=largo}",0.021414786993422,0.464028776978417,0.0461496960013281,1.06946654828508,2064
"{fecha_inicio_T_momento=Mañana,retweet_es_finde=Finde} => {n_char=largo}",0.0443651304185429,0.486240618603593,0.0912411031105393,1.12065910954952,4276
"{fecha_inicio_T_momento=Mañana,retweet_verified=Sin verificar} => {n_char=largo}",0.0545330040879002,0.464598249801114,0.117376688593306,1.07077903613982,5256
"{1_resp=hace un ratín,adherencia=muy_alta} => {n_char=largo}",0.0205225042020294,0.474340527577938,0.043265340001245,1.09323247158031,1978
"{adherencia=muy_alta,RT_popular=muchos} => {n_char=largo}",0.021611919238032,0.472228519610066,0.0457658068934033,1.08836483840019,2083
"{adherencia=muy_alta,retweet_source=Twitter for iPhone} => {n_char=largo}",0.0249424166338113,0.447006322052808,0.0557988006059223,1.0302341837943,2404
"{adherencia=muy_alta,retweet_verified=Verificados} => {n_char=largo}",0.0268929883173207,0.513267326732673,0.0523956755410761,1.18294869521386,2592
"{adherencia=muy_alta,retweet_source=Twitter Web App} => {n_char=largo}",0.0201489904754,0.567670271850336,0.0354941794110934,1.30833344033762,1942
"{adherencia=muy_alta,polaridad=Negativo} => {n_char=largo}",0.0242057645618476,0.544330377974802,0.0444688842314955,1.25454100982729,2333
"{adherencia=muy_alta,polaridad=Positivo} => {n_char=largo}",0.0233342325330456,0.524120251689583,0.0445207611379718,1.20796188570615,2249
"{adherencia=muy_alta,difusion=alta} => {n_char=largo}",0.0739660932539271,0.464641856221078,0.159189475213214,1.07087953768144,7129
"{adherencia=muy_alta,fecha_inicio_T_momento=Tarde} => {n_char=largo}",0.0301301072814426,0.477317554240631,0.0631238198003777,1.1000937495593,2904
"{adherencia=muy_alta,retweet_es_finde=Laborable} => {n_char=largo}",0.0237907493100371,0.444983504754512,0.0534643398144882,1.02557211208421,2293
"{adherencia=muy_alta,retweet_es_finde=Finde} => {n_char=largo}",0.0523645493971903,0.459821428571429,0.113880185096802,1.05976969627613,5047
"{1_resp=tranqui,difusion=intermedia} => {n_char=largo}",0.0231059741445498,0.464539007092199,0.0497395779294889,1.07064249698846,2227
"{1_resp=desde el pasado,difusion=intermedia} => {n_char=largo}",0.0217986761013467,0.515203531142717,0.0423108049220809,1.18741114657446,2101
"{1_resp=hace un ratín,difusion=intermedia} => {n_char=largo}",0.0225042020294246,0.503598792663107,0.044686767238696,1.16066521998268,2169
"{difusion=intermedia,RT_popular=muchos} => {n_char=largo}",0.0220995621589093,0.494888475836431,0.0446556410948102,1.14059018814575,2130
"{difusion=intermedia,retweet_source=Twitter Web App} => {n_char=largo}",0.0265402253532817,0.573799910273665,0.0462534498142807,1.3224606746215,2558
"{difusion=intermedia,polaridad=Negativo} => {n_char=largo}",0.0246830321014297,0.506817213463997,0.0487020397999626,1.16808284913764,2379
"{difusion=intermedia,polaridad=Positivo} => {n_char=largo}",0.0266439791662344,0.525690890481064,0.0506837376273578,1.2115818026817,2568
"{difusion=intermedia,RT_popular=amigos medios} => {n_char=largo}",0.0272665020439501,0.527710843373494,0.0516693988504078,1.21623727267568,2628
"{adherencia=intermedia,difusion=intermedia} => {n_char=largo}",0.0276918926770559,0.516247582205029,0.0536407212965077,1.18981741476566,2669
"{adherencia=alta,difusion=intermedia} => {n_char=largo}",0.0604988483326762,0.466107114308553,0.129796020003735,1.07425657933683,5831
"{difusion=intermedia,RT_popular=pocos} => {n_char=largo}",0.0254196841733934,0.556944760172767,0.0456413023178602,1.28361390456423,2450
"{difusion=intermedia,retweet_source=Twitter for Android} => {n_char=largo}",0.034135004461414,0.529364440868866,0.0644829947500571,1.22004838804905,3290
"{difusion=intermedia,fecha_inicio_T_momento=Tarde} => {n_char=largo}",0.03891805523853,0.514611057758266,0.0756261542611691,1.18604564836216,3751
"{difusion=intermedia,retweet_es_finde=Finde} => {n_char=largo}",0.0622107862463946,0.504586383909787,0.123290655931606,1.16294136287317,5996
"{difusion=intermedia,retweet_verified=Sin verificar} => {n_char=largo}",0.0745678653690523,0.514680607275852,0.144881824407047,1.18620594204694,7187
"{1_resp=ahora,retweet_source=Twitter Web App} => {n_char=largo}",0.0217156730509846,0.447509087021595,0.0485256583179432,1.03139292726549,2093
"{1_resp=tranqui,retweet_source=Twitter Web App} => {n_char=largo}",0.0245066506194103,0.524422735346359,0.0467307173538628,1.20865903245302,2362
"{1_resp=tranqui,polaridad=Negativo} => {n_char=largo}",0.0245274013820008,0.486219662690251,0.0504451038575668,1.12061081157875,2364
"{1_resp=tranqui,polaridad=Positivo} => {n_char=largo}",0.0255753148928223,0.501118113437691,0.0510365005913967,1.15494789472133,2465
"{1_resp=tranqui,RT_popular=amigos medios} => {n_char=largo}",0.0247452843892013,0.485150528885273,0.0510053744475109,1.11814673414047,2385
"{1_resp=tranqui,difusion=alta} => {n_char=largo}",0.0303064887634621,0.50906239107703,0.0595339378722168,1.17325740397394,2921
"{1_resp=tranqui,adherencia=intermedia} => {n_char=largo}",0.0275881388641033,0.451060220525869,0.061162872735573,1.03957737331654,2659
"{1_resp=tranqui,adherencia=alta} => {n_char=largo}",0.032516444979353,0.458790806616894,0.0708742296279388,1.05739437871182,3134
"{1_resp=tranqui,RT_popular=pocos} => {n_char=largo}",0.0249839181589923,0.449421425905189,0.055591292980017,1.03580037474817,2408
"{1_resp=tranqui,retweet_source=Twitter for Android} => {n_char=largo}",0.0318316698138657,0.468253968253968,0.0679794982465606,1.07920452350018,3068
"{1_resp=tranqui,fecha_inicio_T_momento=Tarde} => {n_char=largo}",0.0332530970513166,0.478858508889885,0.0694424270091926,1.10364525224957,3205
"{1_resp=tranqui,retweet_es_finde=Finde} => {n_char=largo}",0.0486812890373721,0.475331779961503,0.102415388765537,1.09551705244625,4692
"{1_resp=tranqui,retweet_verified=Sin verificar} => {n_char=largo}",0.0708119773401673,0.462649132321041,0.153057624867714,1.06628682348613,6825
"{1_resp=rapida,retweet_source=Twitter Web App} => {n_char=largo}",0.0231578510510261,0.485851110143666,0.0476645016704364,1.11976139309565,2232
"{1_resp=rapida,polaridad=Negativo} => {n_char=largo}",0.0221514390653857,0.454545454545455,0.0487331659438484,1.04760993806643,2135
"{1_resp=rapida,polaridad=Positivo} => {n_char=largo}",0.023230478720093,0.459093705146607,0.0506007345769957,1.05809248163371,2239
"{1_resp=rapida,RT_popular=amigos medios} => {n_char=largo}",0.022203315971862,0.445091514143095,0.0498848332676226,1.02582104584375,2140
"{1_resp=desde el pasado,RT_popular=muchos} => {n_char=largo}",0.0216741715258036,0.499402342816161,0.0434002199580835,1.15099348634131,2089
"{1_resp=desde el pasado,retweet_source=Twitter Web App} => {n_char=largo}",0.0294245813533647,0.605853450117496,0.0485671598431242,1.39633580978083,2836
"{1_resp=desde el pasado,difusion=baja} => {n_char=largo}",0.0208337656408873,0.497522299306244,0.0418750389076799,1.14666047135834,2008
"{1_resp=desde el pasado,polaridad=Negativo} => {n_char=largo}",0.0248490382021539,0.529632905793897,0.0469174742171775,1.22066713040071,2395
"{1_resp=desde el pasado,polaridad=Positivo} => {n_char=largo}",0.0285945508497437,0.561990212071778,0.0508808698719678,1.2952423687774,2756
"{1_resp=desde el pasado,RT_popular=amigos medios} => {n_char=largo}",0.0273495050943122,0.499147888657451,0.0547923886202818,1.15040703518933,2636
