"rules","support","confidence","coverage","lift","count"
"{n_char=corto} => {1_resp=ahora}",0.0707185989085099,0.223592704369505,0.316283123404785,1.11798672092455,6816
"{n_char=corto} => {1_resp=rapida}",0.0665373202465191,0.210372654507283,0.316283123404785,1.05177597192245,6413
"{n_char=corto} => {retweet_source=Twitter for iPhone}",0.0815401215994688,0.25780737436032,0.316283123404785,1.16575136549831,7859
"{n_char=corto} => {adherencia=baja}",0.104272582017389,0.329681144206797,0.316283123404785,1.19834545334664,10050
"{n_char=corto} => {RT_popular=pocos}",0.100215807930941,0.316854743471985,0.316283123404785,1.09975490242057,9659
"{n_char=corto} => {difusion=muy_baja}",0.121734348737316,0.384890434326204,0.316283123404785,1.28941640045979,11733
"{n_char=corto} => {retweet_source=Twitter for Android}",0.109252765039115,0.345427109303241,0.316283123404785,1.04556735283164,10530
"{n_char=corto} => {retweet_es_finde=Laborable}",0.136166504119026,0.430520929011941,0.316283123404785,1.10342954873099,13124
"{n_char=corto} => {fecha_inicio_T_momento=Noche}",0.157436035774315,0.497769321611337,0.316283123404785,1.08994258480914,15174
"{n_char=corto} => {polaridad=Neutro}",0.195005291444461,0.616552945807637,0.316283123404785,1.22790796617071,18795
"{n_char=corto} => {retweet_verified=Sin verificar}",0.25424871864041,0.803864322267419,0.316283123404785,1.03628771629477,24505
"{fecha_inicio_T_momento=Mañana,n_char=corto} => {retweet_es_finde=Laborable}",0.0223900728351767,0.485707855052892,0.0460978190948517,1.24487420517771,2158
"{n_char=corto,retweet_es_finde=Laborable} => {fecha_inicio_T_momento=Mañana}",0.0223900728351767,0.164431575739104,0.136166504119026,1.05289955706128,2158
"{fecha_inicio_T_momento=Mañana,n_char=corto} => {polaridad=Neutro}",0.0275881388641033,0.598469502588341,0.0460978190948517,1.19189353442441,2659
"{adherencia=muy_alta,n_char=corto} => {1_resp=desde el pasado}",0.0217467991948704,0.426362896663954,0.0510053744475109,2.13163755090078,2096
"{1_resp=desde el pasado,n_char=corto} => {adherencia=muy_alta}",0.0217467991948704,0.370645446507515,0.05867278122471,2.2148644940968,2096
"{adherencia=muy_alta,n_char=corto} => {RT_popular=muy muchos}",0.0220891867776141,0.433075671277461,0.051005374447511,1.70977345467842,2129
"{n_char=corto,RT_popular=muy muchos} => {adherencia=muy_alta}",0.0220891867776141,0.279763469119579,0.0789566516569484,1.67178142976522,2129
"{adherencia=muy_alta,n_char=corto} => {difusion=alta}",0.0470316034114254,0.922091131000814,0.051005374447511,3.54160306798918,4533
"{difusion=alta,n_char=corto} => {adherencia=muy_alta}",0.0470316034114254,0.703445065176909,0.0668589570666722,4.20357382800427,4533
"{adherencia=muy_alta,n_char=corto} => {fecha_inicio_T_momento=Noche}",0.0262185885331286,0.514035801464605,0.0510053744475109,1.12556054744216,2527
"{adherencia=muy_alta,n_char=corto} => {polaridad=Neutro}",0.0324023157851051,0.635272579332791,0.0510053744475109,1.26518941504811,3123
"{adherencia=muy_alta,n_char=corto} => {retweet_es_finde=Finde}",0.0343840136125003,0.674125305126119,0.0510053744475109,1.10542465860227,3314
"{n_char=corto,retweet_es_finde=Finde} => {adherencia=muy_alta}",0.0343840136125003,0.190898617511521,0.180116619285759,1.14075209578991,3314
"{difusion=intermedia,n_char=corto} => {adherencia=alta}",0.0358054408499512,0.690890890890891,0.0518250295698367,2.47765463037081,3451
"{adherencia=alta,n_char=corto} => {difusion=intermedia}",0.0358054408499512,0.457025559528539,0.0783445041605279,2.30189368094062,3451
"{difusion=intermedia,n_char=corto} => {retweet_es_finde=Laborable}",0.0218401776265278,0.421421421421421,0.0518250295698367,1.08010741761573,2105
"{difusion=intermedia,n_char=corto} => {fecha_inicio_T_momento=Noche}",0.027816397252599,0.536736736736737,0.0518250295698367,1.17526774110367,2681
"{difusion=intermedia,n_char=corto} => {polaridad=Neutro}",0.0313544022742836,0.605005005005005,0.0518250295698367,1.20490944090076,3022
"{1_resp=ahora,n_char=corto} => {RT_popular=muy muchos}",0.0202527442883526,0.286384976525822,0.0707185989085099,1.13064174036422,1952
"{n_char=corto,RT_popular=muy muchos} => {1_resp=ahora}",0.0202527442883526,0.256504599211564,0.0789566516569484,1.28254960994028,1952
"{1_resp=ahora,n_char=corto} => {adherencia=baja}",0.0428710755120251,0.606220657276995,0.0707185989085099,2.20352841264412,4132
"{adherencia=baja,n_char=corto} => {1_resp=ahora}",0.0428710755120251,0.411144278606965,0.104272582017389,2.05576405170661,4132
"{1_resp=ahora,n_char=corto} => {RT_popular=pocos}",0.0225353281733104,0.318661971830986,0.0707185989085099,1.10602751878044,2172
"{n_char=corto,RT_popular=pocos} => {1_resp=ahora}",0.0225353281733104,0.224867998757635,0.100215807930941,1.1243633251846,2172
"{1_resp=ahora,n_char=corto} => {difusion=muy_baja}",0.0434520968645598,0.61443661971831,0.0707185989085099,2.05841606818527,4188
"{difusion=muy_baja,n_char=corto} => {1_resp=ahora}",0.0434520968645598,0.356941958578369,0.121734348737316,1.78474682774955,4188
"{1_resp=ahora,n_char=corto} => {fecha_inicio_T_momento=Tarde}",0.0289265630511921,0.409037558685446,0.0707185989085099,1.05657165012786,2788
"{fecha_inicio_T_momento=Tarde,n_char=corto} => {1_resp=ahora}",0.0289265630511921,0.256556547345173,0.112749268535619,1.28280935599826,2788
"{1_resp=ahora,n_char=corto} => {retweet_es_finde=Laborable}",0.0340208752671661,0.481073943661972,0.0707185989085099,1.2329974428408,3279
"{n_char=corto,retweet_es_finde=Laborable} => {1_resp=ahora}",0.0340208752671661,0.249847607436757,0.136166504119026,1.24926396036364,3279
"{1_resp=ahora,n_char=corto} => {polaridad=Neutro}",0.0436284783465792,0.616930751173709,0.0707185989085099,1.22866039176825,4205
"{n_char=corto,polaridad=Neutro} => {1_resp=ahora}",0.0436284783465792,0.223729715349827,0.195005291444461,1.11867179004187,4205
"{n_char=corto,retweet_verified=Sin verificar} => {1_resp=ahora}",0.0528936938432487,0.208039175678433,0.25424871864041,1.0402174636978,5098
"{1_resp=tranqui,n_char=corto} => {retweet_source=Twitter for Android}",0.0212695316552883,0.354671280276817,0.0599697038866178,1.07354837433704,2050
"{1_resp=tranqui,n_char=corto} => {retweet_es_finde=Laborable}",0.031489282231122,0.525086505190311,0.0599697038866178,1.34580208863855,3035
"{n_char=corto,retweet_es_finde=Laborable} => {1_resp=tranqui}",0.031489282231122,0.231255714721122,0.136166504119026,1.15630256776567,3035
"{1_resp=tranqui,n_char=corto} => {fecha_inicio_T_momento=Noche}",0.0332219709074308,0.553979238754325,0.0599697038866178,1.21302285457027,3202
"{fecha_inicio_T_momento=Noche,n_char=corto} => {1_resp=tranqui}",0.0332219709074308,0.211018848029524,0.157436035774315,1.05511613461204,3202
"{1_resp=tranqui,n_char=corto} => {polaridad=Neutro}",0.0357846900873607,0.596712802768166,0.0599697038866178,1.18839494485797,3449
"{1_resp=tranqui,n_char=corto} => {retweet_verified=Sin verificar}",0.0477163785769127,0.795674740484429,0.0599697038866178,1.02573025931078,4599
"{1_resp=rapida,n_char=corto} => {adherencia=baja}",0.0281587848353427,0.423202869171994,0.0665373202465191,1.53828401480371,2714
"{adherencia=baja,n_char=corto} => {1_resp=rapida}",0.0281587848353427,0.270049751243781,0.104272582017389,1.35013669075517,2714
"{1_resp=rapida,n_char=corto} => {adherencia=intermedia}",0.0201801166192858,0.303290191797911,0.0665373202465191,1.08805610309932,1945
"{adherencia=intermedia,n_char=corto} => {1_resp=rapida}",0.0201801166192858,0.24400953456279,0.0827021643045382,1.21994641354035,1945
"{1_resp=rapida,n_char=corto} => {RT_popular=pocos}",0.022244817497043,0.334320910650242,0.0665373202465191,1.16037732760602,2144
"{n_char=corto,RT_popular=pocos} => {1_resp=rapida}",0.022244817497043,0.221969147944922,0.100215807930941,1.10975362678844,2144
"{1_resp=rapida,n_char=corto} => {difusion=muy_baja}",0.0327758295117346,0.492593170123187,0.0665373202465191,1.6502299243244,3159
"{difusion=muy_baja,n_char=corto} => {1_resp=rapida}",0.0327758295117346,0.269240603426234,0.121734348737316,1.34609128744824,3159
"{fecha_inicio_T_momento=Tarde,n_char=corto} => {1_resp=rapida}",0.0239775061733519,0.212662188276433,0.112749268535619,1.06322269065563,2311
"{1_resp=rapida,n_char=corto} => {retweet_es_finde=Laborable}",0.0341142536988234,0.512708560736005,0.0665373202465191,1.31407729027676,3288
"{n_char=corto,retweet_es_finde=Laborable} => {1_resp=rapida}",0.0341142536988234,0.25053337397135,0.136166504119026,1.25256290331501,3288
"{1_resp=rapida,n_char=corto} => {fecha_inicio_T_momento=Noche}",0.0327654541304393,0.492437236862623,0.0665373202465191,1.07826716412507,3158
