"rules","support","confidence","coverage","lift","count","imbalance","kulczynski"
"{1_resp=Hace rato} => {difusion=alta}",0.0628955614118819,0.325808878856283,0.193044344379656,1.25137926842776,6062,0.172378978691748,0.283690284650107
"{RT_popular=muchos} => {difusion=alta}",0.0659978004191654,0.328886820743498,0.200670249631674,1.26320114596716,6361,0.151100488522351,0.291186855019872
"{1_resp=tranqui} => {difusion=alta}",0.0579776306779274,0.284333180684883,0.203907368595796,1.09207781225673,5588,0.138946346944508,0.253507946842003
"{retweet_source=Twitter for iPhone} => {difusion=alta}",0.0742669793114897,0.335819845179451,0.221151252308522,1.28982977277779,7158,0.0962778018394436,0.310533657347038
"{retweet_verified=Verificados} => {difusion=alta}",0.082339025959204,0.367067530064755,0.224315743603577,1.40984708227868,7936,0.0895868791582856,0.341659213346716
"{1_resp=desde el pasado} => {difusion=alta}",0.0944159697868897,0.418140881312319,0.2257994231288,1.60601157338981,9100,0.0882220515401118,0.390388684060958
"{polaridad=Negativo} => {difusion=alta}",0.0699508206926605,0.28370644672614,0.24656056110062,1.08967062837168,6742,0.0315794472409535,0.276188124136163
"{polaridad=Positivo} => {difusion=alta}",0.0685501442178,0.272734778121775,0.251343611877737,1.04753022176349,6607,0.0203455703315226,0.268012403805448
"{RT_popular=muy muchos} => {difusion=alta}",0.104417837355523,0.412239380657846,0.253294183561246,1.58334486277853,10064,0.0172654209872474,0.406645712485614
"{n_char=largo} => {difusion=alta}",0.129671515428192,0.298859370142758,0.433888070386587,1.1478705592213,12498,0.3073601029128,0.39845335606843
"{fecha_inicio_T_momento=Noche} => {difusion=alta}",0.122543628478347,0.268328145943613,0.456693158473574,1.03060505946988,11811,0.330244328097731,0.36949921284588
"{retweet_es_finde=Finde} => {difusion=alta}",0.173497126019381,0.284499038739643,0.60983378639165,1.09271484625027,16722,0.501615809617418,0.475436735437407
"{retweet_source=TweetDeck,retweet_verified=Verificados} => {difusion=alta}",0.0139030109356519,0.268806419257773,0.0517212757568841,1.0324420300033,1340,0.699711193848081,0.161102819097285
"{retweet_source=TweetDeck,RT_popular=muy muchos} => {difusion=alta}",0.0152414351227408,0.272289156626506,0.0559751820879417,1.04581866159145,1469,0.678807718814611,0.165414523320028
"{1_resp=Hace rato,fecha_inicio_T_momento=Mañana} => {difusion=alta}",0.0107800211657778,0.311918342839988,0.0345603950945197,1.19802796364086,1039,0.794676111881984,0.176661331298849
"{fecha_inicio_T_momento=Mañana,RT_popular=muchos} => {difusion=alta}",0.0100848706189952,0.32573726541555,0.0309601377850636,1.25110421277124,972,0.8156865638604,0.18223581211321
"{fecha_inicio_T_momento=Mañana,retweet_source=Twitter for iPhone} => {difusion=alta}",0.010115996762881,0.326742627345845,0.0309601377850636,1.25496564552671,975,0.815776851271077,0.182798268323436
"{fecha_inicio_T_momento=Mañana,retweet_verified=Verificados} => {difusion=alta}",0.0135709987342035,0.349826156726397,0.0387935506629869,1.34362575267409,1308,0.775840145322434,0.200975085217427
"{1_resp=desde el pasado,fecha_inicio_T_momento=Mañana} => {difusion=alta}",0.0134049926334793,0.401991288114499,0.033346475482974,1.54398359492515,1292,0.809890435297601,0.226738849604392
"{fecha_inicio_T_momento=Mañana,polaridad=Negativo} => {difusion=alta}",0.011340291755722,0.280184568059472,0.0404743624328194,1.07614366138153,1093,0.759551286646119,0.161870398320005
"{fecha_inicio_T_momento=Mañana,RT_popular=muy muchos} => {difusion=alta}",0.0150443028781308,0.389366272824919,0.0386379199435579,1.49549295080144,1450,0.780838935983631,0.22357450486707
"{fecha_inicio_T_momento=Mañana,n_char=largo} => {difusion=alta}",0.0198999813243137,0.283727810650888,0.0701375775559752,1.08975268375523,1918,0.61243987172635,0.180080212012301
"{fecha_inicio_T_momento=Mañana,retweet_es_finde=Finde} => {difusion=alta}",0.0266647299288249,0.292244712303844,0.0912411031105393,1.12246472707695,2570,0.520467462800945,0.197329816102508
"{1_resp=Hace rato,RT_popular=muchos} => {difusion=alta}",0.0154593181299413,0.405331882480958,0.0381399016413853,1.55681427820513,1490,0.785117302052786,0.232354312962803
"{1_resp=Hace rato,retweet_source=Twitter for iPhone} => {difusion=alta}",0.0184266771803864,0.387265590928914,0.0475814986200743,1.48742457100943,1776,0.734948394495413,0.229019740550932
"{1_resp=Hace rato,retweet_verified=Verificados} => {difusion=alta}",0.0200556120437426,0.508416622830089,0.0394471996845884,1.95274611228221,1933,0.789674739457776,0.292723494327295
"{1_resp=Hace rato,retweet_source=Twitter Web App} => {difusion=alta}",0.0146500383889108,0.324076199219647,0.0452055363034592,1.24472432586228,1412,0.739577017725311,0.190172314960106
"{1_resp=Hace rato,polaridad=Negativo} => {difusion=alta}",0.0179286588782138,0.358431860609832,0.050019713224461,1.37667887101685,1728,0.71923227019548,0.213646471470135
"{1_resp=Hace rato,n_char=medio} => {difusion=alta}",0.0157290780436181,0.339225777578877,0.0463675790085286,1.30291140888688,1516,0.735372767140871,0.199819312635776
"{1_resp=Hace rato,polaridad=Positivo} => {difusion=alta}",0.0166939885040775,0.341106635573458,0.0489406735697537,1.31013548058663,1609,0.722537408694419,0.2026127742305
"{1_resp=Hace rato,RT_popular=muy muchos} => {difusion=alta}",0.0242057645618476,0.548425011753644,0.0441368720300471,2.10641187067983,2333,0.771423283361096,0.320697721466206
