"rules","support","confidence","coverage","lift","count"
"{RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0559751820879417,0.220988817433335,0.253294183561246,2.67411728836907,5395
"{RT_popular=muy muchos} => {adherencia=muy_alta}",0.072897428980515,0.287797484946545,0.253294183561246,1.71979026561584,7026
"{RT_popular=muy muchos} => {difusion=intermedia}",0.0565977049656575,0.223446524392742,0.253294183561246,1.12542970913572,5455
"{RT_popular=muy muchos} => {1_resp=ahora}",0.0577182461455458,0.227870396919674,0.253294183561246,1.13937562751152,5563
"{RT_popular=muy muchos} => {1_resp=tranqui}",0.0521466663899898,0.205873919632982,0.253294183561246,1.02939095881231,5026
"{RT_popular=muy muchos} => {retweet_verified=Verificados}",0.161700317486668,0.638389382705935,0.253294183561246,2.845941049212,15585
"{RT_popular=muy muchos} => {n_char=medio}",0.07882177170011,0.311186662843567,0.253294183561246,1.24539272259223,7597
"{RT_popular=muy muchos} => {difusion=alta}",0.104417837355523,0.412239380657846,0.253294183561246,1.58334486277853,10064
"{RT_popular=muy muchos} => {adherencia=alta}",0.0843103484053039,0.332855445869004,0.253294183561246,1.19367739186435,8126
"{RT_popular=muy muchos} => {fecha_inicio_T_momento=Noche}",0.118829241974643,0.469135296768115,0.253294183561246,1.02724397785184,11453
"{retweet_source=TweetDeck,RT_popular=muy muchos} => {retweet_verified=Verificados}",0.0438048598285987,0.782576459684893,0.0559751820879417,3.4887273051503,4222
"{retweet_verified=Verificados,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0438048598285987,0.270901507860122,0.161700317486668,3.27809530829558,4222
"{retweet_source=TweetDeck,RT_popular=muy muchos} => {n_char=medio}",0.0212280301301073,0.379240037071362,0.0559751820879417,1.51774750874111,2046
"{n_char=medio,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0212280301301073,0.269316835592997,0.07882177170011,3.25891967961384,2046
"{retweet_source=TweetDeck,RT_popular=muy muchos} => {adherencia=alta}",0.0205225042020294,0.36663577386469,0.0559751820879417,1.31481951021828,1978
"{adherencia=alta,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0205225042020294,0.243416194929855,0.0843103484053039,2.94550404265276,1978
"{fecha_inicio_T_momento=Tarde,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0206366333962773,0.21535296665223,0.0958270216430454,2.60591960224423,1989
"{retweet_source=TweetDeck,RT_popular=muy muchos} => {retweet_es_finde=Laborable}",0.0233549832956361,0.417238183503244,0.0559751820879417,1.06938573600345,2251
"{retweet_es_finde=Laborable,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0233549832956361,0.242460146488582,0.096325039945218,2.93393519634182,2251
"{fecha_inicio_T_momento=Noche,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0260733331949949,0.219418492971274,0.118829241974643,2.65511527803607,2513
"{polaridad=Neutro,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0282729140295906,0.219651781396099,0.128716980349028,2.65793822906702,2725
"{retweet_es_finde=Finde,RT_popular=muy muchos} => {retweet_source=TweetDeck}",0.0326201987923056,0.207812809835415,0.156969143616028,2.51467849812392,3144
"{fecha_inicio_T_momento=Mañana,RT_popular=muy muchos} => {retweet_verified=Verificados}",0.0264053453964433,0.683404940923738,0.0386379199435579,3.04662049103199,2545
