rules,support,confidence,coverage,lift,count
{adherencia=alta} => {RT_popular=muy muchos},0.028789890857783,0.386975317250035,0.074397227870689,1.8742664629464,2775
{retweet_source=TweetDeck} => {RT_popular=muy muchos},0.050213719550152,0.607429718875502,0.082665892019754,2.94200973533852,4840
{difusion=intermedia} => {RT_popular=muy muchos},0.040015354608458,0.347102231821454,0.115284060256463,1.68114616957974,3857
{fecha_inicio_T_momento=Mañana} => {RT_popular=muy muchos},0.031508071544176,0.201767207015679,0.156160517906793,0.977234186715606,3037
{adherencia=intermedia} => {RT_popular=muy muchos},0.055307714653276,0.279431806269001,0.197929202805328,1.3533929421967,5331
{1_resp=ahora} => {RT_popular=muy muchos},0.048418890318297,0.242114546586429,0.199983400423289,1.1726514705981,4667
{1_resp=tranqui} => {RT_popular=muy muchos},0.04273353529485,0.213674326918089,0.199993775158733,1.03490483005782,4119
{1_resp=desde el pasado} => {RT_popular=muy muchos},0.038147902228493,0.190735553480652,0.200004149894178,0.923803755032061,3677
{1_resp=rapida} => {RT_popular=muy muchos},0.042225173258082,0.21112148563129,0.200004149894178,1.022540463144,4070
{1_resp=hace un ratín} => {RT_popular=muy muchos},0.034942108976221,0.174697857772706,0.200014524629622,0.846127185317099,3368
{retweet_source=Twitter for iPhone} => {RT_popular=muy muchos},0.028810640328672,0.130283837673,0.221137485994107,0.631013443828207,2777
{retweet_verified=Verificados} => {RT_popular=muy muchos},0.142268747146948,0.63424448452893,0.224312155040046,3.07188369301917,13713
{retweet_source=Twitter Web App} => {RT_popular=muy muchos},0.038666639000706,0.162240989030124,0.238328422625223,0.785793902348402,3727
{n_char=medio} => {RT_popular=muy muchos},0.066055940573515,0.264377361624382,0.249854753703781,1.28047862581031,6367
{n_char=corto} => {RT_popular=muy muchos},0.066304934224177,0.209644087256028,0.316273810017845,1.01538486922436,6391
{difusion=baja} => {RT_popular=muy muchos},0.081514296385442,0.256212091567208,0.318151637133253,1.24093116335762,7857
{retweet_source=Twitter for Android} => {RT_popular=muy muchos},0.026590446943603,0.080488647426436,0.330362700751131,0.389836678967856,2563
{adherencia=baja} => {RT_popular=muy muchos},0.075901564510105,0.215448950142828,0.352294891480267,1.04349999529505,7316
{adherencia=muy_baja} => {RT_popular=muy muchos},0.040036104079346,0.110814380886745,0.361289787110429,0.53671556931368,3859
{fecha_inicio_T_momento=Tarde} => {RT_popular=muy muchos},0.076928663319085,0.198692355100619,0.387174752043823,0.962341526729233,7415
{retweet_es_finde=Laborable} => {RT_popular=muy muchos},0.078899863053492,0.202222990400723,0.390162675851766,0.979441716433592,7605
{n_char=largo} => {RT_popular=muy muchos},0.07410673527825,0.170803443328551,0.433871436278375,0.827265076908315,7143
{fecha_inicio_T_momento=Noche} => {RT_popular=muy muchos},0.098030875212682,0.214667060453916,0.456664730049384,1.03971301055384,9449
{difusion=muy_baja} => {RT_popular=muy muchos},0.074075611071918,0.136891751984355,0.541125451300992,0.663018048855235,7140
{retweet_es_finde=Finde} => {RT_popular=muy muchos},0.127567747022451,0.209183239482146,0.609837324148234,1.01315281077358,12296
{retweet_verified=Sin verificar} => {RT_popular=muy muchos},0.064198862928995,0.082763786162344,0.775687844959953,0.40085602837124,6188
"{adherencia=alta,difusion=intermedia} => {RT_popular=muy muchos}",0.020884342449268,0.375,0.055691579864714,1.81626551429576,2013
"{retweet_source=TweetDeck,retweet_verified=Verificados} => {RT_popular=muy muchos}",0.040855708179441,0.789811472121941,0.051728430925011,3.82535290562734,3938
"{difusion=baja,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.022471676972237,0.729784366576819,0.030792214798523,3.53461914102841,2166
"{adherencia=baja,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.024380628293979,0.695060632948832,0.035076980536996,3.3664390879188,2350
"{retweet_es_finde=Laborable,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.021019214010043,0.614871016691958,0.034184753288791,2.97805072895354,2026
"{fecha_inicio_T_momento=Noche,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.023426152633108,0.647733792312106,0.036166327758642,3.13721746512131,2258
"{difusion=muy_baja,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.021569074988588,0.488028169014085,0.044196372992489,2.36370328902716,2079
"{retweet_es_finde=Finde,retweet_source=TweetDeck} => {RT_popular=muy muchos}",0.029194505540109,0.602182751979456,0.048481138730962,2.91659670859735,2814
"{difusion=intermedia,retweet_verified=Verificados} => {RT_popular=muy muchos}",0.024225007262315,0.657746478873239,0.036830310827074,3.18571265793849,2335
"{difusion=intermedia,fecha_inicio_T_momento=Noche} => {RT_popular=muy muchos}",0.020147736232726,0.377821011673152,0.053326140183425,1.82992873087542,1942
"{difusion=intermedia,retweet_es_finde=Finde} => {RT_popular=muy muchos}",0.026943187948707,0.344019075374222,0.078318877868614,1.6662132876323,2597
"{fecha_inicio_T_momento=Mañana,retweet_verified=Verificados} => {RT_popular=muy muchos}",0.023280906336888,0.600160470714095,0.038791135826036,2.90680204267073,2244
